Wall time,Step,Value
1712124087.3300977,608055,-57.26587677001953
1712124147.3727527,610928,-50.672977447509766
1712124213.9311898,614137,-50.50358581542969
1712124226.356082,614694,-51.70768356323242
1712124257.7700431,616325,-53.22335433959961
1712124302.7878628,618521,-50.9270133972168
1712124310.882938,618866,-49.15103530883789
1712124323.2888994,619505,-49.9348258972168
1712124341.7550888,620420,-50.16200256347656
1712124424.0062914,624476,-48.26321029663086
1712124438.7642171,625184,-50.34569549560547
1712124480.2177305,627317,-50.8494987487793
1712124496.2004237,628056,-47.83450698852539
1712124543.2244275,630384,-47.8783073425293
1712124559.6709375,631161,-46.40331268310547
1712124604.3158364,633418,-53.28281021118164
1712124667.604281,636433,-49.976932525634766
1712124682.1513438,637232,-50.77337646484375
1712124778.2304883,641800,-50.9193000793457
1712124802.8101606,642904,-47.29457092285156
1712124822.2806284,643740,-44.1380729675293
1712124829.783236,644023,-42.89613723754883
1712124922.099117,648250,-49.78376388549805
1712124972.4976747,650676,-51.82965087890625
1712125018.4629297,652712,-48.914337158203125
1712125032.001118,653355,-49.66752243041992
1712125081.66338,655568,-48.74264144897461
1712125110.8836484,656773,-42.807315826416016
1712125123.6890833,657306,-40.82061004638672
1712125132.200089,657697,-42.02491760253906
1712125134.0703838,657822,-42.919036865234375
1712125135.6135244,657895,-43.91139602661133
1712125147.753237,658396,-45.1855354309082
1712125212.119169,661537,-53.031829833984375
1712125369.157141,668984,-51.57208251953125
1712125372.1617072,669129,-51.817604064941406
1712125385.541124,669806,-50.102783203125
1712125418.9004185,671248,-48.76402282714844
1712125439.1883152,672137,-49.30370330810547
1712125457.711029,672832,-47.269805908203125
1712125462.2436805,673015,-46.674171447753906
1712125609.9529078,678957,-44.02033996582031
1712125649.979539,680594,-43.09024429321289
1712125722.6175687,683163,-40.71672439575195
1712125741.8992114,683884,-41.01014709472656
1712125769.367515,684887,-45.4590950012207
1712125800.8830462,686078,-45.4448356628418
1712125818.387181,686753,-46.995521545410156
1712125912.655732,690352,-42.20633316040039
1712126019.5792053,694458,-47.78512954711914
1712126031.174326,694892,-46.25031661987305
1712126049.0695565,695630,-45.64220428466797
1712126061.912244,696133,-46.00642776489258
1712126132.9919717,698768,-46.40721893310547
1712126185.3260713,700761,-44.849952697753906
1712126202.4234426,701341,-41.59128189086914
1712126220.0997417,701928,-42.756744384765625
1712126224.6415706,702087,-44.253265380859375
1712126229.619079,702272,-44.443267822265625
1712126283.5926821,704092,-45.38193893432617
1712126299.6578913,704597,-44.75010681152344
1712126313.0262353,705068,-44.625099182128906
1712126334.3212948,705842,-40.3891716003418
1712126351.5536556,706499,-40.8169059753418
1712126352.7333455,706548,-37.63009262084961
1712126369.4782293,707120,-40.054893493652344
1712126406.1355743,708394,-43.427860260009766
1712126408.934502,708515,-42.999267578125
1712126422.9655101,708999,-39.79867935180664
1712126456.0726423,710200,-44.323604583740234
1712126473.915831,710827,-41.5803337097168
1712126495.3462522,711551,-40.44548797607422
1712126527.9033499,712650,-43.53435134887695
1712126568.7812011,714076,-39.790348052978516
1712126593.9032898,714936,-39.27738952636719
1712126623.1686313,715940,-42.671905517578125
1712126627.692406,716083,-42.482791900634766
1712126650.6246545,716842,-41.30870819091797
1712126665.9488814,717352,-44.312950134277344
1712126676.407326,717698,-43.164466857910156
1712126677.0557606,717717,-43.13827133178711
1712126689.1803536,718123,-44.365962982177734
1712126697.3933907,718396,-45.59855651855469
1712126726.5737555,719404,-43.12458801269531
1712126750.2284262,720240,-44.390323638916016
1712126750.9686332,720261,-43.89221954345703
1712126801.8980043,721901,-40.62329864501953
1712126838.5752945,723070,-42.09596633911133
1712126840.1998034,723123,-42.92161178588867
1712126847.9141986,723373,-42.42917251586914
1712126853.2484474,723544,-39.429325103759766
1712126879.6930902,724373,-41.39605712890625
1712126893.7278266,724811,-40.00373077392578
1712126908.300509,725263,-41.869686126708984
1712126933.7213554,726045,-44.288169860839844
1712126936.7949982,726139,-44.336708068847656
1712126941.6511676,726280,-44.403778076171875
1712126984.2641368,727621,-45.31776809692383
1712126987.807884,727742,-44.26780319213867
1712126993.888203,727935,-43.4913444519043
1712127003.9466634,728247,-33.25666427612305
1712127017.26743,728655,-41.64744567871094
1712127019.7708552,728735,-41.891571044921875
